item,api_id,check item
Enchant sapphire or opal,8016,enchant sapphire or opal
Enchanted hat,7400,enchanted hat
Enchanted robe,7398,enchanted robe
Enchanted top,7399,enchanted top
Energy mix(1),11455,energy mix(1)
Energy mix(2),11453,energy mix(2)
Energy potion(1),3014,energy potion(1)
Energy potion(2),3012,energy potion(2)
Energy potion(3),3010,energy potion(3)
Energy potion(4),3008,energy potion(4)
Enhanced crystal teleport seed,23959,enhanced crystal teleport seed
Enhanced crystal weapon seed,25859,enhanced crystal weapon seed
Enhanced quetzal whistle blueprint,29253,enhanced quetzal whistle blueprint
Ensouled abyssal head,13508,ensouled abyssal head
Ensouled aviansie head,13505,ensouled aviansie head
Ensouled bear head,13463,ensouled bear head
Ensouled bloodveld head,13496,ensouled bloodveld head
Ensouled chaos druid head,13472,ensouled chaos druid head
Ensouled dagannoth head,13493,ensouled dagannoth head
Ensouled demon head,13502,ensouled demon head
Ensouled dog head,13469,ensouled dog head
Ensouled dragon head,13511,ensouled dragon head
Ensouled elf head,13481,ensouled elf head
Ensouled giant head,13475,ensouled giant head
Ensouled goblin head,13448,ensouled goblin head
Ensouled hellhound head,26997,ensouled hellhound head
Ensouled horror head,13487,ensouled horror head
Ensouled imp head,13454,ensouled imp head
Ensouled kalphite head,13490,ensouled kalphite head
Ensouled minotaur head,13457,ensouled minotaur head
Ensouled monkey head,13451,ensouled monkey head
Ensouled ogre head,13478,ensouled ogre head
Ensouled scorpion head,13460,ensouled scorpion head
Ensouled troll head,13484,ensouled troll head
Ensouled tzhaar head,13499,ensouled tzhaar head
Ensouled unicorn head,13466,ensouled unicorn head
Equa leaves,2128,equa leaves
Essence impling jar,11246,essence impling jar
Eternal boots,13235,eternal boots
Eternal crystal,13227,eternal crystal
Eternal gem,21270,eternal gem
Evil chicken feet,20433,evil chicken feet
Evil chicken head,20439,evil chicken head
Evil chicken legs,20442,evil chicken legs
Evil chicken wings,20436,evil chicken wings
Expeditious bracelet,21177,expeditious bracelet
Explorer backpack,12514,explorer backpack
Extended antifire mix(1),11962,extended antifire mix(1)
Extended antifire mix(2),11960,extended antifire mix(2)
Extended antifire(1),11957,extended antifire(1)
Extended antifire(2),11955,extended antifire(2)
Extended antifire(3),11953,extended antifire(3)
Extended antifire(4),11951,extended antifire(4)
Extended super antifire mix(1),22224,extended super antifire mix(1)
Extended super antifire mix(2),22221,extended super antifire mix(2)
Extended super antifire(1),22218,extended super antifire(1)
Extended super antifire(2),22215,extended super antifire(2)
Extended super antifire(3),22212,extended super antifire(3)
Extended super antifire(4),22209,extended super antifire(4)
Eye of newt,221,eye of newt
Facemask,4164,facemask
Fake beard,4593,fake beard
Falador teleport (tablet),8009,falador teleport (tablet)
Fancy hedge (bagged),8445,fancy hedge (bagged)
Fancy teak dresser (flatpack),8604,fancy teak dresser (flatpack)
Fancy tiara,20008,fancy tiara
Fangs of venenatis,27670,fangs of venenatis
Farseer helm,3755,farseer helm
Fat snail,3367,fat snail
Fat snail meat,3373,fat snail meat
Fayrg bones,4830,fayrg bones
Feather,314,feather
Fedora,11990,fedora
Feldip hills teleport,12404,feldip hills teleport
Feldip weasel fur,10119,feldip weasel fur
Felling axe handle,28177,felling axe handle
Fenkenstrain's castle teleport (tablet),19621,fenkenstrain's castle teleport (tablet)
Fez,6382,fez
Fibula piece,6167,fibula piece
Fiendish ashes,25766,fiendish ashes
Filled plant pot,5354,filled plant pot
Fine cloth,3470,fine cloth
Fire battlestaff,1393,fire battlestaff
Fire orb,569,fire orb
Fire rune,554,fire rune
Fire talisman,1442,fire talisman
Fire tiara,5537,fire tiara
Fish chunks,22818,fish chunks
Fish food,272,fish food
Fish offcuts,11334,fish offcuts
Fish pie,7188,fish pie
Fishing bait,313,fishing bait
Fishing guild teleport (tablet),24959,fishing guild teleport (tablet)
Fishing mix(1),11479,fishing mix(1)
Fishing mix(2),11477,fishing mix(2)
Fishing potion(1),155,fishing potion(1)
Fishing potion(2),153,fishing potion(2)
Fishing potion(3),151,fishing potion(3)
Fishing potion(4),2438,fishing potion(4)
Fishing rod,307,fishing rod
Fiyr remains,3404,fiyr remains
Flamtaer bracelet,21180,flamtaer bracelet
Flamtaer hammer,3678,flamtaer hammer
Flared trousers,10394,flared trousers
Flattened hide,6171,flattened hide
Flax,1779,flax
Flighted ogre arrow,2865,flighted ogre arrow
Fly fishing rod,309,fly fishing rod
Forester's ration,28157,forester's ration
Forgotten brew(1),27638,forgotten brew(1)
Forgotten brew(2),27635,forgotten brew(2)
Forgotten brew(3),27632,forgotten brew(3)
Forgotten brew(4),27629,forgotten brew(4)
Four-poster bed (flatpack),8586,four-poster bed (flatpack)
Fox fur,29163,fox fur
Fremennik beige shirt,3771,fremennik beige shirt
Fremennik black cloak,3789,fremennik black cloak
Fremennik blue cloak,3763,fremennik blue cloak
Fremennik blue shirt,3775,fremennik blue shirt
Fremennik boots,3791,fremennik boots
Fremennik brown cloak,3761,fremennik brown cloak
Fremennik brown shirt,3767,fremennik brown shirt
Fremennik cyan cloak,3759,fremennik cyan cloak
Fremennik gloves,3799,fremennik gloves
Fremennik green cloak,3765,fremennik green cloak
Fremennik grey cloak,3779,fremennik grey cloak
Fremennik grey shirt,3769,fremennik grey shirt
Fremennik hat,3797,fremennik hat
Fremennik kilt,23246,fremennik kilt
Fremennik pink cloak,3787,fremennik pink cloak
Fremennik purple cloak,3785,fremennik purple cloak
Fremennik red cloak,3777,fremennik red cloak
Fremennik red shirt,3773,fremennik red shirt
Fremennik robe,3793,fremennik robe
Fremennik skirt,3795,fremennik skirt
Fremennik teal cloak,3783,fremennik teal cloak
Fremennik yellow cloak,3781,fremennik yellow cloak
Fried mushrooms,7082,fried mushrooms
Fried onions,7084,fried onions
Frog slippers,23288,frog slippers
Frog-leather body,10954,frog-leather body
Frog-leather boots,10958,frog-leather boots
Frog-leather chaps,10956,frog-leather chaps
Frozen whip mix,12769,frozen whip mix
Fruit batta,2277,fruit batta
Fruit blast,2084,fruit blast
Frying pan,7441,frying pan
Fur,6814,fur
Fury ornament kit,12526,fury ornament kit
Gadderhammer,7668,gadderhammer
Games necklace(8),3853,games necklace(8)
Garden pie,7178,garden pie
Gardening boots,5345,gardening boots
Gardening trowel,5325,gardening trowel
Garlic,1550,garlic
Garlic powder,4668,garlic powder
Ghorrock teleport (tablet),12778,ghorrock teleport (tablet)
Ghrazi rapier,22324,ghrazi rapier
Gianne dough,2171,gianne dough
Gianne's cook book,2167,gianne's cook book
Giant boot,23252,giant boot
Giant egg sac(full),23517,giant egg sac(full)
Giant frog legs,4517,giant frog legs
Giant seaweed,21504,giant seaweed
Gilded 2h sword,20155,gilded 2h sword
Gilded armour set (lg),13036,gilded armour set (lg)
Gilded armour set (sk),13038,gilded armour set (sk)
Gilded axe,23279,gilded axe
Gilded bench (flatpack),8574,gilded bench (flatpack)
Gilded boots,12391,gilded boots
Gilded cape rack (flatpack),9846,gilded cape rack (flatpack)
Gilded chainbody,20149,gilded chainbody
Gilded clock (flatpack),8594,gilded clock (flatpack)
Gilded coif,23258,gilded coif
Gilded d'hide body,23264,gilded d'hide body
Gilded d'hide chaps,23267,gilded d'hide chaps
Gilded d'hide vambraces,23261,gilded d'hide vambraces
Gilded dragonhide set,23124,gilded dragonhide set
Gilded dresser (flatpack),8608,gilded dresser (flatpack)
Gilded four-poster (flatpack),8588,gilded four-poster (flatpack)
Gilded full helm,3486,gilded full helm
Gilded hasta,20161,gilded hasta
Gilded kiteshield,3488,gilded kiteshield
Gilded magic wardrobe (flatpack),9857,gilded magic wardrobe (flatpack)
Gilded med helm,20146,gilded med helm
Gilded pickaxe,23276,gilded pickaxe
Gilded platebody,3481,gilded platebody
Gilded platelegs,3483,gilded platelegs
Gilded plateskirt,3485,gilded plateskirt
Gilded scimitar,12389,gilded scimitar
Gilded spade,23282,gilded spade
Gilded spear,20158,gilded spear
Gilded sq shield,20152,gilded sq shield
Gilded wardrobe (flatpack),8622,gilded wardrobe (flatpack)
Gin,2019,gin
Glassblowing pipe,1785,glassblowing pipe
Gloves of darkness,20134,gloves of darkness
Gloves of silence,10075,gloves of silence
Gnome goggles,9472,gnome goggles
Gnome scarf,9470,gnome scarf
Gnome spice,2169,gnome spice
Gnomeball,751,gnomeball
Gnomebowl mould,2166,gnomebowl mould
Gnomish firelighter,20275,gnomish firelighter
Goat horn dust,9736,goat horn dust
Goblin book,10999,goblin book
Goblin mail,288,goblin mail
Goblin mask,12251,goblin mask
Godsword blade,11798,godsword blade
Godsword shard 1,11818,godsword shard 1
Godsword shard 2,11820,godsword shard 2
Godsword shard 3,11822,godsword shard 3
Gold amulet,1692,gold amulet
Gold amulet (u),1673,gold amulet (u)
Gold bar,2357,gold bar
Gold bracelet,11069,gold bracelet
Gold elegant blouse,12343,gold elegant blouse
Gold elegant legs,12349,gold elegant legs
Gold elegant shirt,12347,gold elegant shirt
Gold elegant skirt,12345,gold elegant skirt
Gold headband,12303,gold headband
Gold leaf,8784,gold leaf
Gold locks,25454,gold locks
Gold necklace,1654,gold necklace
Gold ore,444,gold ore
Gold ring,1635,gold ring
Gold seal,9040,gold seal
Gold tiara,26788,gold tiara
Golden apron,20208,golden apron
Golden chef's hat,20205,golden chef's hat
Golden scarab,9028,golden scarab
Golden statuette,9034,golden statuette
Golovanova fruit top,19653,golovanova fruit top
Gourmet impling jar,11242,gourmet impling jar
Gout tuber,6311,gout tuber
Graahk fur,10099,graahk fur
Graahk headdress,10051,graahk headdress
Graahk legs,10047,graahk legs
Graahk top,10049,graahk top
Grain,1947,grain
Grand seed pod,9469,grand seed pod
Granite (2kg),6981,granite (2kg)
Granite (500g),6979,granite (500g)
Granite (5kg),6983,granite (5kg)
Granite body,10564,granite body
Granite boots,21643,granite boots
Granite clamp,12849,granite clamp
Granite gloves,21736,granite gloves
Granite hammer,21742,granite hammer
Granite helm,10589,granite helm
Granite legs,6809,granite legs
Granite longsword,21646,granite longsword
Granite maul,4153,granite maul
Granite ring,21739,granite ring
Granite shield,3122,granite shield
Grape seed,13657,grape seed
Grapes,1987,grapes
Greater demon mask,20023,greater demon mask
Greater siren,22835,greater siren
Green boater,7323,green boater
Green boots,628,green boots
Green cape,1027,green cape
Green d'hide body,1135,green d'hide body
Green d'hide body (g),7370,green d'hide body (g)
Green d'hide body (t),7372,green d'hide body (t)
Green d'hide chaps,1099,green d'hide chaps
Green d'hide chaps (g),7378,green d'hide chaps (g)
Green d'hide chaps (t),7380,green d'hide chaps (t)
Green d'hide shield,22275,green d'hide shield
Green d'hide vambraces,1065,green d'hide vambraces
Green dark bow paint,12759,green dark bow paint
Green dragon leather,1745,green dragon leather
Green dragon mask,12518,green dragon mask
Green dragonhide,1753,green dragonhide
Green dragonhide set,12865,green dragonhide set
Green dye,1771,green dye
Green elegant blouse,10432,green elegant blouse
Green elegant legs,10414,green elegant legs
Green elegant shirt,10412,green elegant shirt
Green elegant skirt,10434,green elegant skirt
Green firelighter,7330,green firelighter
Green halloween mask,1053,green halloween mask
Green hat,658,green hat
Green headband,12307,green headband
Green partyhat,1044,green partyhat
Green robe bottoms,648,green robe bottoms
Green robe top,638,green robe top
Green spiky vambraces,10079,green spiky vambraces
Greenman's ale,1909,greenman's ale
Greenman's ale (flatpack),8522,greenman's ale (flatpack)
Greenman's ale(m),5743,greenman's ale(m)
Greenmans ale(4),5793,greenmans ale(4)
Greenmans ale(m4),5873,greenmans ale(m4)
Grey boots,2894,grey boots
Grey gloves,2902,grey gloves
Grey hat,2900,grey hat
Grey robe bottoms,2898,grey robe bottoms
Grey robe top,2896,grey robe top
Grey toy horsey,2526,grey toy horsey
Grey wolf fur,958,grey wolf fur
Grimy avantoe,211,grimy avantoe
Grimy cadantine,215,grimy cadantine
Grimy dwarf weed,217,grimy dwarf weed
Grimy guam leaf,199,grimy guam leaf
Grimy harralander,205,grimy harralander
Grimy irit leaf,209,grimy irit leaf
Grimy kwuarm,213,grimy kwuarm
Grimy lantadyme,2485,grimy lantadyme
Grimy marrentill,201,grimy marrentill
Grimy ranarr weed,207,grimy ranarr weed
Grimy snapdragon,3051,grimy snapdragon
Grimy tarromin,203,grimy tarromin
Grimy toadflax,3049,grimy toadflax
Grimy torstol,219,grimy torstol
Grog,1915,grog
Ground guam,6681,ground guam
Grubby key,23499,grubby key
Guam leaf,249,guam leaf
Guam potion (unf),91,guam potion (unf)
Guam seed,5291,guam seed
Guam tar,10142,guam tar
Guardian boots,21733,guardian boots
Guthan's armour set,12873,guthan's armour set
Guthan's chainskirt,4730,guthan's chainskirt
Guthan's chainskirt 0,4926,guthan's chainskirt 0
Guthan's helm,4724,guthan's helm
Guthan's helm 0,4908,guthan's helm 0
Guthan's platebody,4728,guthan's platebody
Guthan's platebody 0,4920,guthan's platebody 0
Guthan's warspear,4726,guthan's warspear
Guthan's warspear 0,4914,guthan's warspear 0
Guthix armour set (lg),13048,guthix armour set (lg)
Guthix armour set (sk),13050,guthix armour set (sk)
Guthix balance(1),7666,guthix balance(1)
Guthix balance(2),7664,guthix balance(2)
Guthix balance(3),7662,guthix balance(3)
Guthix balance(4),7660,guthix balance(4)
Guthix bracers,10376,guthix bracers
Guthix chaps,10380,guthix chaps
Guthix cloak,10448,guthix cloak
Guthix coif,10382,guthix coif
Guthix crozier,10442,guthix crozier
Guthix d'hide body,10378,guthix d'hide body
Guthix d'hide boots,19927,guthix d'hide boots
Guthix d'hide shield,23188,guthix d'hide shield
Guthix dragonhide set,13165,guthix dragonhide set
Guthix full helm,2673,guthix full helm
Guthix kiteshield,2675,guthix kiteshield
Guthix mitre,10454,guthix mitre
Guthix mjolnir,6760,guthix mjolnir
Guthix page 1,3835,guthix page 1
Guthix page 2,3836,guthix page 2
Guthix page 3,3837,guthix page 3
Guthix page 4,3838,guthix page 4
Guthix platebody,2669,guthix platebody
Guthix platelegs,2671,guthix platelegs
Guthix plateskirt,3480,guthix plateskirt
Guthix rest(1),4423,guthix rest(1)
Guthix rest(2),4421,guthix rest(2)
Guthix rest(3),4419,guthix rest(3)
Guthix rest(4),4417,guthix rest(4)
Guthix robe legs,10466,guthix robe legs
Guthix robe top,10462,guthix robe top
Guthix stole,10472,guthix stole
Hair,10814,hair
Half full wine jug,1989,half full wine jug
Half moon spectacles,20053,half moon spectacles
Halloween mask set,13175,halloween mask set
Ham boots,4310,ham boots
Ham cloak,4304,ham cloak
Ham gloves,4308,ham gloves
Ham hood,4302,ham hood
Ham joint,23360,ham joint
Ham logo,4306,ham logo
Ham robe,4300,ham robe
Ham shirt,4298,ham shirt
Hammer,2347,hammer
Hammerstone hops,5994,hammerstone hops
Hammerstone seed,5307,hammerstone seed
Hard leather,1743,hard leather
Hard leather shield,22269,hard leather shield
Hardleather body,1131,hardleather body
Harmonised orb,24511,harmonised orb
Harmony island teleport (tablet),19625,harmony island teleport (tablet)
Harpoon,311,harpoon
Harralander,255,harralander
Harralander potion (unf),97,harralander potion (unf)
Harralander seed,5294,harralander seed
Harralander tar,10145,harralander tar
Hat eyepatch,8928,hat eyepatch
Headless arrow,53,headless arrow
Heavy ballista,19481,heavy ballista
Heavy frame,19589,heavy frame
Helm of neitiznot,10828,helm of neitiznot
Herring,347,herring
Highwayman mask,2631,highwayman mask
Hill giant club,20756,hill giant club
Holy blessing,20220,holy blessing
Holy book page set,13149,holy book page set
Holy elixir,12833,holy elixir
Holy mould,1599,holy mould
Holy sandals,12598,holy sandals
Holy symbol,1718,holy symbol
Holy wraps,19997,holy wraps
Honourable blessing,20229,honourable blessing
Hood of darkness,20128,hood of darkness
Hosidius banner,20254,hosidius banner
Hosidius hood,20116,hosidius hood
Hosidius scarf,19946,hosidius scarf
Hunter potion(1),10004,hunter potion(1)
Hunter potion(2),10002,hunter potion(2)
Hunter potion(3),10000,hunter potion(3)
Hunter potion(4),9998,hunter potion(4)
Hunter spear tips,29311,hunter spear tips
Hunter's spear,29305,hunter's spear
Hunters' crossbow,10156,hunters' crossbow
Hunters' sunlight crossbow,28869,hunters' sunlight crossbow
Hunting mix(1),11519,hunting mix(1)
Hunting mix(2),11517,hunting mix(2)
Hydra bones,22786,hydra bones
Hydra leather,22983,hydra leather
Hydra tail,22988,hydra tail
Hydra's claw,22966,hydra's claw
Ice plateau teleport (tablet),24963,ice plateau teleport (tablet)
Icy basalt,22599,icy basalt
Imbued heart,20724,imbued heart
Immature tecu salamander,28831,immature tecu salamander
Imp mask,12249,imp mask
Impling jar,11260,impling jar
Incomplete heavy ballista,19598,incomplete heavy ballista
Incomplete light ballista,19595,incomplete light ballista
Infernal ashes,25778,infernal ashes
Infinity boots,6920,infinity boots
Infinity bottoms,6924,infinity bottoms
Infinity gloves,6922,infinity gloves
Infinity hat,6918,infinity hat
Infinity top,6916,infinity top
Initiate cuisse,5576,initiate cuisse
Initiate harness m,9668,initiate harness m
Initiate hauberk,5575,initiate hauberk
Initiate sallet,5574,initiate sallet
Inoculation bracelet,11088,inoculation bracelet
Inquisitor's armour set,24488,inquisitor's armour set
Inquisitor's great helm,24419,inquisitor's great helm
Inquisitor's hauberk,24420,inquisitor's hauberk
Inquisitor's mace,24417,inquisitor's mace
Inquisitor's plateskirt,24421,inquisitor's plateskirt
Insect repellent,28,insect repellent
Insulated boots,7159,insulated boots
Iorwerth camp teleport,12410,iorwerth camp teleport
Irit leaf,259,irit leaf
Irit potion (unf),101,irit potion (unf)
Irit seed,5297,irit seed
Irit tar,28837,irit tar
Iron 2h sword,1309,iron 2h sword
Iron arrow,884,iron arrow
Iron arrow(p),885,iron arrow(p)
Iron arrow(p+),5617,iron arrow(p+)
Iron arrow(p++),5623,iron arrow(p++)
Iron arrowtips,40,iron arrowtips
Iron axe,1349,iron axe
Iron bar,2351,iron bar
Iron battleaxe,1363,iron battleaxe
Iron bolts,9140,iron bolts
Iron bolts (p),9287,iron bolts (p)
Iron bolts (p+),9294,iron bolts (p+)
Iron bolts (p++),9301,iron bolts (p++)
Iron bolts (unf),9377,iron bolts (unf)
Iron boots,4121,iron boots
Iron brutal,4778,iron brutal
Iron chainbody,1101,iron chainbody
Iron claws,3096,iron claws
Iron crossbow,9177,iron crossbow
Iron crossbow (u),9457,iron crossbow (u)
Iron dagger,1203,iron dagger
Iron dagger(p),1219,iron dagger(p)
Iron dagger(p+),5668,iron dagger(p+)
Iron dagger(p++),5686,iron dagger(p++)
Iron dart,807,iron dart
Iron dart (p),813,iron dart (p)
Iron dart tip,820,iron dart tip
Iron dart(p+),5629,iron dart(p+)
Iron dart(p++),5636,iron dart(p++)
Iron dragon mask,12365,iron dragon mask
Iron felling axe,28199,iron felling axe
Iron full helm,1153,iron full helm
Iron full helm (g),12241,iron full helm (g)
Iron full helm (t),12231,iron full helm (t)
Iron gold-trimmed set (lg),12980,iron gold-trimmed set (lg)
Iron gold-trimmed set (sk),12982,iron gold-trimmed set (sk)
Iron halberd,3192,iron halberd
Iron hasta,11369,iron hasta
Iron hasta(p),11386,iron hasta(p)
Iron hasta(p+),11389,iron hasta(p+)
Iron hasta(p++),11391,iron hasta(p++)
Iron javelin,826,iron javelin
Iron javelin heads,19572,iron javelin heads
Iron javelin(p),832,iron javelin(p)
Iron javelin(p+),5643,iron javelin(p+)
Iron javelin(p++),5649,iron javelin(p++)
Iron kiteshield,1191,iron kiteshield
Iron kiteshield (g),12243,iron kiteshield (g)
Iron kiteshield (t),12233,iron kiteshield (t)
Iron knife,863,iron knife
Iron knife(p),871,iron knife(p)
Iron knife(p+),5655,iron knife(p+)
Iron knife(p++),5662,iron knife(p++)
Iron limbs,9423,iron limbs
Iron longsword,1293,iron longsword
Iron mace,1420,iron mace
Iron med helm,1137,iron med helm
Iron nails,4820,iron nails
Iron ore,440,iron ore
Iron pickaxe,1267,iron pickaxe
Iron platebody,1115,iron platebody
Iron platebody (g),12235,iron platebody (g)
Iron platebody (t),12225,iron platebody (t)
Iron platelegs,1067,iron platelegs
Iron platelegs (g),12237,iron platelegs (g)
Iron platelegs (t),12227,iron platelegs (t)
Iron plateskirt,1081,iron plateskirt
Iron plateskirt (g),12239,iron plateskirt (g)
Iron plateskirt (t),12229,iron plateskirt (t)
Iron scimitar,1323,iron scimitar
Iron set (lg),12972,iron set (lg)
Iron set (sk),12974,iron set (sk)
Iron spear,1239,iron spear
Iron spear(p),1253,iron spear(p)
Iron spear(p+),5706,iron spear(p+)
Iron spear(p++),5720,iron spear(p++)
Iron spit,7225,iron spit
Iron sq shield,1175,iron sq shield
Iron sword,1279,iron sword
Iron thrownaxe,801,iron thrownaxe
Iron trimmed set (lg),12976,iron trimmed set (lg)
Iron trimmed set (sk),12978,iron trimmed set (sk)
Iron warhammer,1335,iron warhammer
Ivory comb,9026,ivory comb
Jade,1611,jade
Jade amulet,21111,jade amulet
Jade amulet (u),21102,jade amulet (u)
Jade bolt tips,9187,jade bolt tips
Jade bracelet,21120,jade bracelet
Jade dragon bolts,21957,jade dragon bolts
Jade dragon bolts (e),21934,jade dragon bolts (e)
Jade machete,6315,jade machete
Jade necklace,21093,jade necklace
Jade ring,21084,jade ring
Jaguar fur,29218,jaguar fur
Jangerberries,247,jangerberries
Jangerberry seed,5104,jangerberry seed
Jar of chemicals,23064,jar of chemicals
Jar of darkness,19701,jar of darkness
Jar of decay,22106,jar of decay
Jar of dirt,12007,jar of dirt
Jar of dreams,24495,jar of dreams
Jar of eyes,23525,jar of eyes
Jar of miasma,13277,jar of miasma
Jar of sand,12885,jar of sand
Jar of smoke,25524,jar of smoke
Jar of souls,13245,jar of souls
Jar of spirits,25521,jar of spirits
Jar of stone,21745,jar of stone
Jar of swamp,12936,jar of swamp
Javelin shaft,19584,javelin shaft
Jerboa tail,29166,jerboa tail
Jester cape,23297,jester cape
Jogre bones,3125,jogre bones
Jug,1935,jug
Jug of water,1937,jug of water
Jug of wine,1993,jug of wine
Jungle camo legs,10059,jungle camo legs
Jungle camo legs (equipped),28848,jungle camo legs (equipped)
Jungle camo top,10057,jungle camo top
Jungle camo top (equipped),28845,jungle camo top (equipped)
Jungle demon mask,20032,jungle demon mask
Justiciar armour set,22438,justiciar armour set
Justiciar chestguard,22327,justiciar chestguard
Justiciar faceguard,22326,justiciar faceguard
Justiciar legguards,22328,justiciar legguards
Jute fibre,5931,jute fibre
Jute seed,5306,jute seed
Karambwan vessel,3157,karambwan vessel
Karambwan vessel (baited),3159,karambwan vessel (baited)
Karidian disguise,4595,karidian disguise
Karil's armour set,12883,karil's armour set
Karil's coif,4732,karil's coif
Karil's coif 0,4932,karil's coif 0
Karil's crossbow,4734,karil's crossbow
Karil's crossbow 0,4938,karil's crossbow 0
Karil's leatherskirt,4738,karil's leatherskirt
Karil's leatherskirt 0,4950,karil's leatherskirt 0
Karil's leathertop,4736,karil's leathertop
Karil's leathertop 0,4944,karil's leathertop 0
Katana,12357,katana
Kebab,1971,kebab
Kebab mix,1881,kebab mix
Kebbit bolts,10158,kebbit bolts
Kebbit claws,10113,kebbit claws
Kebbit spike,10105,kebbit spike
Kebbit teeth,10109,kebbit teeth
Kebbit teeth dust,10111,kebbit teeth dust
Keg of beer,3801,keg of beer
Kharidian headpiece,4591,kharidian headpiece
Kharyrll teleport (tablet),12779,kharyrll teleport (tablet)
Khazard teleport (tablet),24957,khazard teleport (tablet)
King worm,2162,king worm
Kitchen knife,7447,kitchen knife
Kitchen table (flatpack),8528,kitchen table (flatpack)
Knife,946,knife
Kodai insignia,21043,kodai insignia
Kodai wand,21006,kodai wand
Kourend castle teleport (tablet),28790,kourend castle teleport (tablet)
Kovac's grog,27014,kovac's grog
Kraken tentacle,12004,kraken tentacle
Krandorian hops,6000,krandorian hops
Krandorian seed,5310,krandorian seed
Kwuarm,263,kwuarm
Kwuarm potion (unf),105,kwuarm potion (unf)
Kwuarm seed,5299,kwuarm seed
Kyatt fur,10103,kyatt fur
Kyatt hat,10039,kyatt hat
Kyatt legs,10035,kyatt legs
Kyatt top,10037,kyatt top
Lantadyme,2481,lantadyme
Lantadyme potion (unf),2483,lantadyme potion (unf)
Lantadyme seed,5302,lantadyme seed
Lantern lens,4542,lantern lens
Large oak bed (flatpack),8580,large oak bed (flatpack)
Large teak bed (flatpack),8584,large teak bed (flatpack)
Larran's key,23490,larran's key
Larupia fur,10095,larupia fur
Larupia hat,10045,larupia hat
Larupia legs,10041,larupia legs
Larupia top,10043,larupia top
Lassar teleport (tablet),12780,lassar teleport (tablet)
Lava battlestaff,3053,lava battlestaff
Lava dragon bones,11943,lava dragon bones
Lava dragon mask,12371,lava dragon mask
Lava rune,4699,lava rune
Lava scale,11992,lava scale
Lava scale shard,11994,lava scale shard
Lava staff upgrade kit,21202,lava staff upgrade kit
Law rune,563,law rune
Leaf-bladed battleaxe,20727,leaf-bladed battleaxe
Leaf-bladed sword,11902,leaf-bladed sword
Lean snail,3365,lean snail
Lean snail meat,3371,lean snail meat
Leaping salmon,11330,leaping salmon
Leaping sturgeon,11332,leaping sturgeon
Leaping trout,11328,leaping trout
Leather,1741,leather
Leather body,1129,leather body
Leather body (g),23381,leather body (g)
Leather boots,1061,leather boots
Leather chaps,1095,leather chaps
Leather chaps (g),23384,leather chaps (g)
Leather cowl,1167,leather cowl
Leather gloves,1059,leather gloves
Leather vambraces,1063,leather vambraces
Leaves,6020,leaves
Left eye patch,19724,left eye patch
Lemon,2102,lemon
Lemon chunks,2104,lemon chunks
Lemon slices,2106,lemon slices
Leprechaun hat,12359,leprechaun hat
Lesser demon mask,20020,lesser demon mask
Light ballista,19478,light ballista
Light bow tie,19985,light bow tie
Light frame,19586,light frame
Light infinity colour kit,12530,light infinity colour kit
Light orb,10973,light orb
Light trousers,19979,light trousers
Light tuxedo cuffs,19976,light tuxedo cuffs
Light tuxedo jacket,19973,light tuxedo jacket
Light tuxedo shoes,19982,light tuxedo shoes
Lightbearer,25975,lightbearer
Lily of the sands,27272,lily of the sands
Lime,2120,lime
Lime chunks,2122,lime chunks
Lime slices,2124,lime slices
Limestone,3211,limestone
Limestone brick,3420,limestone brick
Limpwurt root,225,limpwurt root
Limpwurt seed,5100,limpwurt seed
Linen,4684,linen
Lizardkicker,25826,lizardkicker
Lizardman fang,13391,lizardman fang
Loar remains,3396,loar remains
Lobster,379,lobster
Lobster pot,301,lobster pot
Lockpick,1523,lockpick
Locust meat,9052,locust meat
Log brace,28146,log brace
Logs,1511,logs
Long kebbit bolts,10159,long kebbit bolts
Long kebbit spike,10107,long kebbit spike
Longbow,839,longbow
Longbow (u),48,longbow (u)
Loop half of key,987,loop half of key
Looting bag note,24585,looting bag note
Lovakengj banner,20257,lovakengj banner
Lovakengj hood,20119,lovakengj hood
Lovakengj scarf,19949,lovakengj scarf
Lumberyard teleport,12642,lumberyard teleport
Lumbridge teleport (tablet),8008,lumbridge teleport (tablet)
Lunar isle teleport,12405,lunar isle teleport
M. treasure chest (flatpack),9864,m. treasure chest (flatpack)
Machete,975,machete
Mackerel,355,mackerel
Mage's book,6889,mage's book
Magic bird house,22201,magic bird house
Magic box,10025,magic box
Magic cape rack (flatpack),9848,magic cape rack (flatpack)
Magic comp bow,10284,magic comp bow
Magic essence mix(1),11491,magic essence mix(1)
Magic essence mix(2),11489,magic essence mix(2)
Magic fang,12932,magic fang
Magic leaves,6030,magic leaves
Magic logs,1513,magic logs
Magic longbow,859,magic longbow
Magic longbow (u),70,magic longbow (u)
Magic mix(1),11515,magic mix(1)
Magic mix(2),11513,magic mix(2)
Magic potion(1),3046,magic potion(1)
Magic potion(2),3044,magic potion(2)
Magic potion(3),3042,magic potion(3)
Magic potion(4),3040,magic potion(4)
Magic pyre logs,3448,magic pyre logs
Magic roots,6051,magic roots
Magic sapling,5374,magic sapling
Magic seed,5316,magic seed
Magic shield,22263,magic shield
Magic shortbow,861,magic shortbow
Magic shortbow (u),72,magic shortbow (u)
